seq,is_true,is_ignore,path,x0,x1,y0,y1,col,,json_path
0,False,False,/data/crops/aachen_000000_000019_leftImg8bit_gF_0,778,810,367,463,g,,aachen_000000_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000000_000019_leftImg8bit_gF_1,1820,1852,111,207,g,,aachen_000000_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000001_000019_leftImg8bit_gF_2,748,780,388,484,g,,aachen_000001_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000001_000019_leftImg8bit_gF_3,715,747,390,486,g,,aachen_000001_000019_gtFine_polygons.json
2,True,False,/data/crops/aachen_000001_000019_leftImg8bit_gT_4,1236,1268,294,390,g,,aachen_000001_000019_gtFine_polygons.json
3,True,False,/data/crops/aachen_000001_000019_leftImg8bit_gT_5,1119,1151,339,435,g,,aachen_000001_000019_gtFine_polygons.json
0,True,False,/data/crops/aachen_000002_000019_leftImg8bit_rT_6,1109,1141,347,443,r,,aachen_000002_000019_gtFine_polygons.json
1,True,False,/data/crops/aachen_000002_000019_leftImg8bit_rT_7,1154,1186,389,485,r,,aachen_000002_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000002_000019_leftImg8bit_rF_8,1008,1040,413,509,r,,aachen_000002_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000002_000019_leftImg8bit_rF_9,1038,1070,413,509,r,,aachen_000002_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000002_000019_leftImg8bit_rF_10,1056,1088,414,510,r,,aachen_000002_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000002_000019_leftImg8bit_rF_11,1187,1219,160,256,r,,aachen_000002_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000002_000019_leftImg8bit_rF_12,1084,1116,414,510,r,,aachen_000002_000019_gtFine_polygons.json
7,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_13,53,85,44,140,g,,aachen_000002_000019_gtFine_polygons.json
8,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_14,1214,1246,89,185,g,,aachen_000002_000019_gtFine_polygons.json
9,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_15,1205,1237,87,183,g,,aachen_000002_000019_gtFine_polygons.json
10,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_16,1262,1294,35,131,g,,aachen_000002_000019_gtFine_polygons.json
11,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_17,1176,1208,141,237,g,,aachen_000002_000019_gtFine_polygons.json
12,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_18,1109,1141,382,478,g,,aachen_000002_000019_gtFine_polygons.json
13,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_19,365,397,-53,43,g,,aachen_000002_000019_gtFine_polygons.json
14,False,False,/data/crops/aachen_000002_000019_leftImg8bit_gF_20,52,84,29,125,g,,aachen_000002_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000003_000019_leftImg8bit_rF_21,1126,1158,438,534,r,,aachen_000003_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000004_000019_leftImg8bit_gF_22,1979,2011,218,314,g,,aachen_000004_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000005_000019_leftImg8bit_rF_23,638,670,425,521,r,,aachen_000005_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000005_000019_leftImg8bit_rF_24,889,921,426,522,r,,aachen_000005_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000005_000019_leftImg8bit_rF_25,950,982,427,523,r,,aachen_000005_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000005_000019_leftImg8bit_rF_26,1121,1153,415,511,r,,aachen_000005_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000005_000019_leftImg8bit_gF_27,468,500,408,504,g,,aachen_000005_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000006_000019_leftImg8bit_rF_28,891,923,402,498,r,,aachen_000006_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000006_000019_leftImg8bit_rF_29,941,973,401,497,r,,aachen_000006_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000006_000019_leftImg8bit_gF_30,879,911,127,223,g,,aachen_000006_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000006_000019_leftImg8bit_gF_31,798,830,13,109,g,,aachen_000006_000019_gtFine_polygons.json
4,True,False,/data/crops/aachen_000006_000019_leftImg8bit_gT_32,1012,1044,295,391,g,,aachen_000006_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000008_000019_leftImg8bit_rF_33,630,662,467,563,r,,aachen_000008_000019_gtFine_polygons.json
1,True,False,/data/crops/aachen_000008_000019_leftImg8bit_rT_34,990,1022,237,333,r,,aachen_000008_000019_gtFine_polygons.json
2,True,False,/data/crops/aachen_000008_000019_leftImg8bit_gT_35,621,653,303,399,g,,aachen_000008_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000010_000019_leftImg8bit_rF_36,1108,1140,336,432,r,,aachen_000010_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000010_000019_leftImg8bit_rF_37,647,679,437,533,r,,aachen_000010_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000010_000019_leftImg8bit_rF_38,1637,1669,85,181,r,,aachen_000010_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000010_000019_leftImg8bit_gF_39,1362,1394,299,395,g,,aachen_000010_000019_gtFine_polygons.json
0,True,False,/data/crops/aachen_000011_000019_leftImg8bit_rT_40,763,795,262,358,r,,aachen_000011_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000011_000019_leftImg8bit_rF_41,1187,1219,453,549,r,,aachen_000011_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000011_000019_leftImg8bit_rF_42,378,410,466,562,r,,aachen_000011_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000011_000019_leftImg8bit_gF_43,468,500,355,451,g,,aachen_000011_000019_gtFine_polygons.json
4,True,False,/data/crops/aachen_000011_000019_leftImg8bit_gT_44,847,879,247,343,g,,aachen_000011_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000011_000019_leftImg8bit_gF_45,213,245,395,491,g,,aachen_000011_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000011_000019_leftImg8bit_gF_46,971,1003,356,452,g,,aachen_000011_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000012_000019_leftImg8bit_rF_47,939,971,393,489,r,,aachen_000012_000019_gtFine_polygons.json
